Sede,Concepto,Profesional Historia,Ingresos,Atenciones,Uds
CDMX,"Ac. Anti TPO (Tiroperoxidasa, Microsomales)",Maritza Ivett Rojas Valencia,603.45,1,1
CDMX,Ac. Anti-Beta 2 Glicoproteína IgG,Jairo Hernando Pedraza Pinto,0.0,1,1
CDMX,Ac. Anti-Chlamydia Trachomatis IgG e IgM,Eugenia Morán Orozco,2672.42,2,2
CDMX,Ac. Anti-Tiroglobulina (Anti-TG),Maritza Ivett Rojas Valencia,560.34,1,1
CDMX,Ac. Anti-Virus Herpes (HSV) Tipo I y II IgG e IgM,Eugenia Morán Orozco,948.28,2,2
CDMX,Ac. Anti-Virus Herpes (HSV) Tipo I y II IgG e IgM,Giovanni López Salamanca,948.28,2,2
CDMX,Ac. Anti-tiroideos,Eugenia Morán Orozco,0.0,1,1
CDMX,Ac. Anti-tiroideos,Jairo Hernando Pedraza Pinto,2129.31,1,1
CDMX,Ac. Anti-tiroideos,Ruben Gonzalez Ruiz,1465.52,1,1
CDMX,Alfa Fetoproteína (AFP),Giovanni López Salamanca,702.59,1,1
CDMX,All Inclusive Surrogacy Package CDMX,(Sin asignar),181034.48,1,1
CDMX,All Inclusive Surrogacy Package CDMX,Alma Victoria Villarreal Barranca,181034.48,1,1
CDMX,All Inclusive Surrogacy Package CDMX,Eugenia Morán Orozco,858620.92,4,4
CDMX,All Inclusive Surrogacy Package CDMX,Giovanni López Salamanca,412500.16,3,3
CDMX,All Inclusive Surrogacy Package CDMX,Jairo Hernando Pedraza Pinto,323275.86,2,2
CDMX,Almacenamiento de gametos 1 año,(Sin asignar),6034.48,1,1
CDMX,Almacenamiento de gametos 1 año,Alejandro Kava Braveman,64655.12,13,13
CDMX,Almacenamiento de gametos 1 año,Alejandro Sanchez Aranda,81034.44,15,15
CDMX,Almacenamiento de gametos 1 año,Alma Victoria Villarreal Barranca,10344.82,2,2
CDMX,Almacenamiento de gametos 1 año,Andrea Andrade Rodríguez,12499.99,3,3
CDMX,Almacenamiento de gametos 1 año,Armando Miguel Roque Sanchez,14655.16,6,6
CDMX,Almacenamiento de gametos 1 año,Carlos Andres Lejtik Alva,12068.97,1,2
CDMX,Almacenamiento de gametos 1 año,Daniel Pascal Ponton,16379.3,3,3
CDMX,Almacenamiento de gametos 1 año,Daniel Vieyra Cortés,4310.34,1,1
CDMX,Almacenamiento de gametos 1 año,Deborah Cassis Bendeck,10344.82,3,3
CDMX,Almacenamiento de gametos 1 año,Diana Duran,6034.48,1,1
CDMX,Almacenamiento de gametos 1 año,Edith Cervantes Guerrero,24137.92,4,4
CDMX,Almacenamiento de gametos 1 año,Eugenia Morán Orozco,276723.99,54,58
CDMX,Almacenamiento de gametos 1 año,Eva Bonifacio Leon,31637.91,5,5
CDMX,Almacenamiento de gametos 1 año,Fabiola del Carmen Brito Sandoval,6034.48,1,1
CDMX,Almacenamiento de gametos 1 año,Felipe de Jesús Compeán Báez,8620.68,2,2
CDMX,Almacenamiento de gametos 1 año,Gerardo Armando Paladino Barquera,47413.76,9,9
CDMX,Almacenamiento de gametos 1 año,Giovanni López Salamanca,201939.54,38,39
CDMX,Almacenamiento de gametos 1 año,Gisela Cuevas Velasco,18965.5,5,5
CDMX,Almacenamiento de gametos 1 año,Griselda Reyes Torres,56034.44,12,12
CDMX,Almacenamiento de gametos 1 año,Horacio Méndez Serrano,4310.34,1,1
CDMX,Almacenamiento de gametos 1 año,Isabel Suarez Zaragoza,6034.48,1,1
CDMX,Almacenamiento de gametos 1 año,Jaime Antonio Hidalgo Carrera,10344.82,2,2
CDMX,Almacenamiento de gametos 1 año,Jairo Hernando Pedraza Pinto,26724.12,5,5
CDMX,Almacenamiento de gametos 1 año,Jefsi Argelia Leon Dominguez,10344.82,2,2
CDMX,Almacenamiento de gametos 1 año,Jorge Alberto Campos Cañas,10344.82,3,3
CDMX,Almacenamiento de gametos 1 año,José Alfonso Gutiérrez Frusch,211637.79,41,42
CDMX,Almacenamiento de gametos 1 año,José Manuel Lozano Sánchez,23620.67,5,5
CDMX,Almacenamiento de gametos 1 año,Maria Victoria Marchese,26724.12,5,5
CDMX,Almacenamiento de gametos 1 año,Maritza Ivett Rojas Valencia,6034.48,1,1
CDMX,Almacenamiento de gametos 1 año,María Elena González Panzzi,8620.68,2,2
CDMX,Almacenamiento de gametos 1 año,María de los Ángeles Flores Manzur,18965.5,4,4
CDMX,Almacenamiento de gametos 1 año,Mayela Fernandez del Campo (MEFI),4310.34,1,1
CDMX,Almacenamiento de gametos 1 año,Mayella Fernández del Campo,17241.36,4,4
CDMX,Almacenamiento de gametos 1 año,Melissa Itzel Villagomez Aleman,20689.64,4,4
CDMX,Almacenamiento de gametos 1 año,Miguel Ángel Martínez Enríquez,18103.44,3,3
CDMX,Almacenamiento de gametos 1 año,Miranda Lucía Morán Morales,6034.48,1,1
CDMX,Almacenamiento de gametos 1 año,Monica Olavarria,10344.82,2,2
CDMX,Almacenamiento de gametos 1 año,Monica Yazmin Olavarria Guadarrama,4310.34,1,1
CDMX,Almacenamiento de gametos 1 año,Paola Berenice Merchand Álvarez,10344.82,2,2
