Sede,Concepto,MesNum,Ingresos,Atenciones,Uds
CDMX,[EX] Desvitrificación CDMX,8,21340.99,5,5
CDMX,"[EX] Desvitrificación de óvulos congelados, Fertilización + Transferencia en fresco CDMX",1,0.0,0,0
CDMX,"[EX] Desvitrificación de óvulos congelados, Fertilización + Transferencia en fresco CDMX",2,0.0,0,0
CDMX,"[EX] Desvitrificación de óvulos congelados, Fertilización + Transferencia en fresco CDMX",3,0.0,0,0
CDMX,"[EX] Desvitrificación de óvulos congelados, Fertilización + Transferencia en fresco CDMX",4,0.0,0,0
CDMX,"[EX] Desvitrificación de óvulos congelados, Fertilización + Transferencia en fresco CDMX",5,0.0,0,0
CDMX,"[EX] Desvitrificación de óvulos congelados, Fertilización + Transferencia en fresco CDMX",6,19008.62,1,1
CDMX,"[EX] Desvitrificación de óvulos congelados, Fertilización + Transferencia en fresco CDMX",7,0.0,0,0
CDMX,"[EX] Desvitrificación de óvulos congelados, Fertilización + Transferencia en fresco CDMX",8,21120.69,1,1
CDMX,[EX] Vitrificación,1,34310.35,6,6
CDMX,[EX] Vitrificación,2,88941.0,15,15
CDMX,[EX] Vitrificación,3,108965.49,16,16
CDMX,[EX] Vitrificación,4,107847.41,16,16
CDMX,[EX] Vitrificación,5,108589.0,16,16
CDMX,[EX] Vitrificación,6,64146.68,10,10
CDMX,[EX] Vitrificación,7,77198.27,14,14
CDMX,[EX] Vitrificación,8,84074.6,15,15
CDMX,Check up ginecologico,1,0.0,0,0
CDMX,Check up ginecologico,2,0.0,0,0
CDMX,Check up ginecologico,3,0.0,0,0
CDMX,Check up ginecologico,4,1724.14,1,1
CDMX,Check up ginecologico,5,17413.79,12,12
CDMX,Check up ginecologico,6,16810.34,12,12
CDMX,Check up ginecologico,7,19396.54,13,13
CDMX,Check up ginecologico,8,16211.2,12,12
CDMX,check up integral,1,0.0,0,0
CDMX,check up integral,2,0.0,0,0
CDMX,check up integral,3,0.0,0,0
CDMX,check up integral,4,0.0,0,0
CDMX,check up integral,5,0.0,0,0
CDMX,check up integral,6,0.0,0,0
CDMX,check up integral,7,0.0,0,0
CDMX,check up integral,8,6034.48,2,2
CDMX,Consulta primera vez SOP,1,0.0,0,0
CDMX,Consulta primera vez SOP,2,0.0,0,0
CDMX,Consulta primera vez SOP,3,0.0,0,0
CDMX,Consulta primera vez SOP,4,1551.72,1,1
CDMX,Consulta primera vez SOP,5,13965.48,9,9
CDMX,Consulta primera vez SOP,6,1551.72,1,1
CDMX,Consulta primera vez SOP,7,3103.44,2,2
CDMX,Consulta primera vez SOP,8,1551.72,1,1
CDMX,Colocacion DIU Mirena [Consultorio],1,0.0,0,0
CDMX,Colocacion DIU Mirena [Consultorio],2,0.0,0,0
CDMX,Colocacion DIU Mirena [Consultorio],3,0.0,0,0
CDMX,Colocacion DIU Mirena [Consultorio],4,0.0,0,0
CDMX,Colocacion DIU Mirena [Consultorio],5,6465.52,1,1
