Sede,Servicio,Subclas,Subclas2,Concepto,Ago,Jul
GDL,Tratamientos de Fertilidad (FIV/ICSI),FIV / ICSI,,[EX] Captura sin recuperación GDL,12931.04,0.0
GDL,Tratamientos de Fertilidad (FIV/ICSI),FIV / ICSI,,[EX] Fertilización,65700.82999999997,6034.48
GDL,Tratamientos de Fertilidad (FIV/ICSI),Inseminación Intrauterina (IIU),,Inseminacion GDL,62198.29,15948.28
GDL,Tratamientos de Fertilidad (FIV/ICSI),Inseminación Intrauterina (IIU),,"[EX] Inseminación Intrauterina (Incluye: Uso de consultorio, enfermera, capacitación y consumibles)",32327.600000000002,12931.04
GDL,Tratamientos de Fertilidad (FIV/ICSI),Transferencia Embrionaria,,[EX] Transferencia GDL,36206.88,12068.96
GDL,Tratamientos de Fertilidad (FIV/ICSI),Transferencia Embrionaria,,[EX] Transferencia de congelados GDL,75000.0,12500.0
GDL,Tratamientos de Fertilidad (FIV/ICSI),Transferencia Embrionaria,,[FET] Transferencia de Embrión Congelado GDL - MET,0.0,58232.76
GDL,Wellness,Nutrición,,Consulta de nutrición GDL,2413.79,1379.31
GDL,Wellness,Psicología,,Terapia individual - GDL,1034.48,1034.48
MTP,Congelación y Almacenamiento de Gametos,Almacenamiento,,Almacenamiento de gametos 1 año,43103.42,4310.34
MTP,Congelación y Almacenamiento de Gametos,Almacenamiento,,Almacenamiento de gametos 5 años,17241.38,0.0
MTP,Congelación y Almacenamiento de Gametos,Congelación,,Congelamiento de embriones MET,54956.9,0.0
MTP,Congelación y Almacenamiento de Gametos,Congelación,,Congelamiento de semen (por depósito) CDMX - GDL - MET,4310.34,4310.34
MTP,Consultas,Check up Ginecologico,,Check up ginecologico,1293.1,3879.2999999999997
MTP,Consultas,Consulta primera vez,,Consulta de primera vez,0.0,862.07
MTP,Consultas,Fertility Check up Mujeres,,Check up Fertilidad Mujeres,3622.41,7415.51
MTP,Consultas,Fertility Check up Parejas,,Check up Fertilidad Parejas,9051.72,3017.24
MTP,Consultas,Platica de resultado,,Plática de resultados,0.0,517.24
MTP,Farmacia,,,ASPIRINA PROTEC 100MG 28 TAB,720.0,480.0
MTP,Farmacia,,,Cetrotide 0.25mg,28056.0,18704.0
MTP,Farmacia,,,GONAL-F PEN2.0 - 300IU,22000.0,27500.0
MTP,Farmacia,,,GONAL-F PEN2.0 - 900IU,95550.0,81900.0
MTP,Farmacia,,,Gonapeptyl Daily 0.1 (por ampolla),4800.0,1920.0
MTP,Farmacia,,,LEVONORGESTREL/ ETINILESTRADIOL 0.15/0.03MG 21 TAB (MICROGYNON),1656.0,0.0
MTP,Farmacia,,,Letz 2.5mg,800.0,0.0
MTP,Farmacia,,,Merapur 75 UI (por ampolla),68530.0,84550.0
MTP,Farmacia,,,NOCELE 30 CAPSULAS,1500.0,0.0
MTP,Farmacia,,,OGESTAN ANDRACTIV 30 CAPSULAS,500.0,0.0
MTP,Farmacia,,,OMEGA 3 DE 90 CÁPS (MATTER),0.0,1120.69
MTP,Farmacia,,,OVIDREL F-PEN 250MCG - PLUMAS,14100.0,7050.0
MTP,Farmacia,,,PREDNISONA 20 MG C/30 TAB (METICORTEN) ASPEN,750.0,1500.0
MTP,Farmacia,,,PRIMOGYN 2 MG C/28 GRAG,4000.0,6000.0
MTP,Farmacia,,,REGENESIX MAX CAPSULAS,2400.0,0.0
MTP,Farmacia,,,SUPLEMENTO - FORCELL FEM,0.0,895.0
MTP,Farmacia,,,SUPLEMENTO - FORCELL MEN,2362.0,7086.0
MTP,Farmacia,,,UTROGESTAN 100MG CAP CAJ C/30,8450.0,13000.0
MTP,Imágenes,,,Histerosonografía,3017.24,0.0
MTP,Imágenes,,,Ultrasonido,5172.4,7758.610000000001
MTP,Laboratorio,Laboratorio Clínico,Ginecología y ETS,Papanicolaou,3362.07,1120.69
