Sede,Servicio,Concepto,Valor,VsLM
GDL,Laboratorio,Cultivo de Exudado Vaginal,1120.68,-33.0
GDL,Laboratorio,Testosterona Libre,1077.59,
GDL,Laboratorio,"Ac. Anti TPO (Tiroperoxidasa, Microsomales)",1060.19,
GDL,Laboratorio,Perfil preparación endometrial,956.0,
GDL,Laboratorio,Tiempos de Coagulación,905.17,
GDL,Laboratorio,Perfil pre operatorios,862.06,
GDL,Laboratorio,T4 - Libre,827.58,-13.0
GDL,Laboratorio,Espermocultivo,818.97,0.0
GDL,Laboratorio,Testosterona Total y Testosterona Libre,818.97,0.0
GDL,Laboratorio,Vitamina B-12,810.34,
GDL,Laboratorio,Biometria Hemática Pack,775.86,
GDL,Laboratorio,FSH,775.86,131.0
GDL,Laboratorio,Grupo Sanguíneo RH,637.94,
GDL,Laboratorio,Perfil Hepatico,566.38,-10.0
GDL,Laboratorio,CA 125,560.34,
GDL,Laboratorio,Cultivo de anaerobios,560.34,
GDL,Laboratorio,Cultivo de secreción,560.34,
GDL,Laboratorio,Química Sanguínea 6 elementos,504.31,442.0
GDL,Laboratorio,Progesterona,387.93,
GDL,Laboratorio,VDRL,387.93,
GDL,Laboratorio,Globulina Transportadora de Hormonas sexuales ( SHBG),293.1,0.0
GDL,Laboratorio,Testosterona Total,275.86,
GDL,Laboratorio,Glucosa,189.66,-50.0
GDL,Laboratorio,Acido úrico,0.0,-100.0
GDL,Laboratorio,BUN,0.0,-100.0
GDL,Laboratorio,Creatinina,0.0,-100.0
GDL,Laboratorio,Hemoglobina glicosilada,0.0,-100.0
GDL,Laboratorio,Hepatitis B superficie HBsAg,0.0,-100.0
GDL,Laboratorio,Paquete Hormonas Basales,0.0,-100.0
GDL,Laboratorio,Subunidad beta cuantitativa,0.0,-100.0
GDL,Laboratorio,T3 - Total,0.0,-100.0
GDL,Laboratorio,T4 - Total,0.0,-100.0
GDL,Otros,Servicios Administrativos,0.0,-100.0
GDL,Otros,Traslado de gametos locales,0.0,-100.0
GDL,Procedimientos / Quirúrgicos,Histeroscopia diagnostica,43103.44,25.0
GDL,Procedimientos / Quirúrgicos,Sedación (Anestesia),5172.41,
GDL,Procedimientos / Quirúrgicos,[EX] Histeroscopia diagnostica,0.0,-100.0
GDL,Tratamientos de Fertilidad (FIV/ICSI),[EX] Captura GDL,204958.09,2278.0
GDL,Tratamientos de Fertilidad (FIV/ICSI),FIV con 3 Transferencias / IVF with 3 Transfers- GDL,151724.14,88.0
GDL,Tratamientos de Fertilidad (FIV/ICSI),[EX] Transferencia de congelados GDL,75000.0,500.0
GDL,Tratamientos de Fertilidad (FIV/ICSI),[EX] Fertilización,65700.83,989.0
GDL,Tratamientos de Fertilidad (FIV/ICSI),Inseminacion GDL,62198.29,290.0
GDL,Tratamientos de Fertilidad (FIV/ICSI),[EX] Transferencia GDL,36206.88,200.0
GDL,Tratamientos de Fertilidad (FIV/ICSI),"[EX] Inseminación Intrauterina (Incluye: Uso de consultorio, enfermera, capacitación y consumibles)",32327.6,150.0
GDL,Tratamientos de Fertilidad (FIV/ICSI),[EX] Biopsia testicular para FIV/ ICSI,13793.1,
GDL,Tratamientos de Fertilidad (FIV/ICSI),[EX] Captura sin recuperación GDL,12931.04,
GDL,Tratamientos de Fertilidad (FIV/ICSI),Donación esperma - LAFER - Europeo,0.0,-100.0
GDL,Tratamientos de Fertilidad (FIV/ICSI),Donación esperma - LAFER - Extranjero,0.0,-100.0
GDL,Tratamientos de Fertilidad (FIV/ICSI),Donación esperma - LAFER - Nacional,0.0,-100.0
GDL,Tratamientos de Fertilidad (FIV/ICSI),[EX] Captura + Fertilización GDL,0.0,-100.0
GDL,Tratamientos de Fertilidad (FIV/ICSI),[FET] Transferencia de Embrión Congelado GDL - MET,0.0,-100.0
GDL,Wellness,Consulta de nutrición GDL,2413.79,75.0
GDL,Wellness,Terapia individual - GDL,1034.48,0.0
MTP,Congelación y Almacenamiento de Gametos,Congelamiento de embriones MET,54956.9,
MTP,Congelación y Almacenamiento de Gametos,Almacenamiento de gametos 1 año,43103.42,900.0
MTP,Congelación y Almacenamiento de Gametos,Almacenamiento de gametos 5 años,17241.38,
MTP,Congelación y Almacenamiento de Gametos,Congelamiento de semen (por depósito) CDMX - GDL - MET,4310.34,0.0
MTP,Consultas,Check up Fertilidad Parejas,9051.72,200.0
MTP,Consultas,Check up Fertilidad Mujeres,3622.41,-51.0
MTP,Consultas,Check up ginecologico,1293.1,-67.0
MTP,Consultas,Consulta de primera vez,0.0,-100.0
MTP,Consultas,Plática de resultados,0.0,-100.0
MTP,Farmacia,GONAL-F PEN2.0 - 900IU,95550.0,17.0
MTP,Farmacia,Merapur 75 UI (por ampolla),68530.0,-19.0
MTP,Farmacia,Cetrotide 0.25mg,28056.0,50.0
MTP,Farmacia,GONAL-F PEN2.0 - 300IU,22000.0,-20.0
MTP,Farmacia,OVIDREL F-PEN 250MCG - PLUMAS,14100.0,100.0
MTP,Farmacia,UTROGESTAN 100MG CAP CAJ C/30,8450.0,-35.0
MTP,Farmacia,Gonapeptyl Daily 0.1 (por ampolla),4800.0,150.0
MTP,Farmacia,PRIMOGYN 2 MG C/28 GRAG,4000.0,-33.0
MTP,Farmacia,REGENESIX MAX CAPSULAS,2400.0,
MTP,Farmacia,SUPLEMENTO - FORCELL MEN,2362.0,-67.0
MTP,Farmacia,LEVONORGESTREL/ ETINILESTRADIOL 0.15/0.03MG 21 TAB (MICROGYNON),1656.0,
MTP,Farmacia,NOCELE 30 CAPSULAS,1500.0,
MTP,Farmacia,Letz 2.5mg,800.0,
MTP,Farmacia,PREDNISONA 20 MG C/30 TAB (METICORTEN) ASPEN,750.0,-50.0
MTP,Farmacia,ASPIRINA PROTEC 100MG 28 TAB,720.0,50.0
MTP,Farmacia,OGESTAN ANDRACTIV 30 CAPSULAS,500.0,
MTP,Farmacia,OMEGA 3 DE 90 CÁPS (MATTER),0.0,-100.0
